No   IGT            Start RTA      End RTA        Length     Retime?    Reason / Notice
77   1:00:12.802    3:09:17.316    3:09:18.974    1.658      1.658      Paused by player, Unpause by player
78   1:00:13.702    3:09:19.862    3:09:22.702    2.840      2.840      Paused by player, Unpause by player
79   1:00:14.252    3:09:23.253    3:09:24.526    1.273      1.273      Paused by player, Unpause by player
80   1:00:14.702    3:09:24.953    3:09:26.954    2.001      2.001      Paused by player, Unpause by player
81   1:00:15.152    3:09:27.381    3:09:31.343    3.962      3.962      Paused by player, Unpause by player
82   1:00:21.402    3:09:37.558    3:09:38.492    0.934      0.934      Paused by player, Unpause by player
83   1:00:21.802    3:09:38.878    3:09:40.296    1.418      1.418      Paused by player, Unpause by player
84   1:00:23.802    3:09:42.262    3:09:42.922    0.660      0.660      Paused by player, Unpause by player
85   1:00:24.552    3:09:43.630    3:09:44.996    1.366      1.366      Paused by player, Unpause by player
86   1:00:27.402    3:09:47.834    3:09:48.425    0.591      0.591      Paused by player, Unpause by player
87   1:00:28.752    3:09:49.766    3:09:54.423    4.657      4.657      Paused by player, Unpause by player
88   1:00:29.952    3:09:55.610    3:09:56.878    1.268      1.268      Paused by player, Unpause by player
89   1:00:30.752    3:09:57.647    3:10:04.229    6.582      6.582      Paused by player, Unpause by player
90   1:00:33.302    3:10:06.757    3:10:07.022    0.265      0.265      Paused by player, Unpause by player
91   1:00:35.402    3:10:09.081    3:10:10.024    0.943      0.943      Paused by player, Unpause by player
92   1:00:35.752    3:10:10.339    3:10:11.890    1.551      1.551      Paused by player, Unpause by player
93   1:00:36.302    3:10:12.403    3:10:21.816    9.413      9.413      Paused by player, Unpause by player
94   1:00:38.502    3:10:24.016    3:10:25.110    1.094      1.094      Paused by player, Unpause by player
95   1:00:40.352    3:10:26.915    3:10:27.430    0.515      0.515      Paused by player, Unpause by player
96   1:00:42.402    3:10:29.473    3:10:31.302    1.829      1.829      Paused by player, Unpause by player
97   1:00:42.902    3:10:31.764    3:10:32.693    0.929      0.929      Paused by player, Unpause by player
98   1:00:44.202    3:10:33.974    3:10:34.758    0.784      0.784      Paused by player, Unpause by player
